well,status,ref_col,known_prefix_rmse,valid_phys_rows,comparable_known_rows,rows_overridden,rows_total,reason
000d7d20,override,EGFDU,0.010077236947433338,5278,1442,3836,3836,
00bbac68,override,EGFDU,0.009044498198756065,7559,1545,6014,6014,
00e12e8b,override,EGFDU,0.007854748101082202,6384,2083,4301,4301,
