well,fold,split,cut_idx,native_cut_idx,prefix_rows,eval_rows,prefix_frac,prefix_gr_coverage,eval_gr_coverage,fallback_tvt,method,hidden_compatible_method,router_eligible_method,status,detail,eval_rmse,baseline_rmse,delta_rmse_vs_baseline,holdout_rmse,holdout_delta_rmse_vs_baseline,holdout_status,holdout_detail,pred_std,pred_move_abs_p90,pred_jump_abs_p99,pred_range
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,last_value,True,True,ok,,7.454442102844319,7.454442102844319,0.0,0.7107375863610832,0.0,ok,,1.8189894035458565e-12,0.0,0.0,0.0
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,damped_tail_linear_md,True,False,ok,damp=0.250;max_move=12.000,8.77721631782069,7.454442102844319,1.3227742149763708,1.9994411915177004,1.2887036051566172,ok,damp=0.250;max_move=12.000,0.7304885802995564,2.1835941501021807,0.0006596680814254796,2.5298270887597027
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,damped_tail_linear_Z,True,True,ok,damp=0.200;max_move=12.000,9.638037154415088,7.454442102844319,2.1835950515707685,1.117682459961594,0.4069448736005108,ok,damp=0.200;max_move=12.000,1.2064622075720222,3.5229635680307183,0.0023076680463418597,3.8468826333664765
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,damped_tail_linear_ANCC,False,False,ok,damp=0.200;max_move=12.000,9.689421691235765,7.454442102844319,2.234979588391446,2.012810127859822,1.3020725414987386,ok,damp=0.200;max_move=12.000,1.1844979408460936,3.598008697980731,0.002664169425770524,3.994033998103987
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,damped_tail_linear_ASTNU,False,False,ok,damp=0.200;max_move=12.000,9.68942169124077,7.454442102844319,2.2349795883964516,2.012810127861695,1.3020725415006118,ok,damp=0.200;max_move=12.000,1.1844979408493324,3.598008697989826,0.002664169425770524,3.994033998114901
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,damped_tail_linear_ASTNL,False,False,ok,damp=0.200;max_move=12.000,9.689421691239023,7.454442102844319,2.2349795883947037,2.0128101278609085,1.3020725414998253,ok,damp=0.200;max_move=12.000,1.1844979408478613,3.598008697986188,0.002664169425770524,3.994033998111263
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,damped_tail_linear_EGFDU,False,False,ok,damp=0.200;max_move=12.000,9.689421691235777,7.454442102844319,2.2349795883914583,2.0128101278621915,1.3020725415011083,ok,damp=0.200;max_move=12.000,1.18449794084648,3.598008697980731,0.002664169425770524,3.994033998105806
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,damped_tail_linear_EGFDL,False,False,ok,damp=0.200;max_move=12.000,9.689421691234658,7.454442102844319,2.234979588390339,2.012810127860112,1.3020725414990286,ok,damp=0.200;max_move=12.000,1.1844979408453575,3.598008697978912,0.002664169425770524,3.994033998100349
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,damped_tail_linear_BUDA,False,False,ok,damp=0.200;max_move=12.000,9.689421691237769,7.454442102844319,2.2349795883934496,2.0128101278612185,1.3020725415001353,ok,damp=0.200;max_move=12.000,1.1844979408472875,3.598008697984369,0.002664169425770524,3.994033998107625
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,piecewise_tail_slope_md,True,False,ok,slope=0.00263867;span=255.000;damp=0.300,8.923223159417937,7.454442102844319,1.4687810565736177,1.9621261609286285,1.2513885745675453,ok,slope=-0.0284951;span=255.000;damp=0.300,0.7261313512702717,2.3061119029816837,0.0007915409365159575,2.474770427987096
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,piecewise_tail_slope_Z,True,False,ok,slope=0.192306;span=3.390;damp=0.300,9.710258367906656,7.454442102844319,2.255816265062337,1.2457600360151473,0.5350224496540641,ok,slope=-0.620729;span=11.720;damp=0.300,1.0281759988671035,3.2641093540632937,0.002960306574641435,3.3190661828521115
000d7d20,0,native_prefix,1442,1442,1442,3836,0.27320954907161804,0.6934812760055479,0.5265901981230449,11747.37,fault_step_recent_level,True,False,fallback,step_below_gate;step=0.1250,7.454442102844319,7.454442102844319,0.0,1.8313931249544204,1.1206555385933372,ok,step=-3.6400;window=128;damp=0.350,1.8189894035458565e-12,0.0,0.0,0.0
